# Timeline for yang85_pigua2.mp3
# Format: filename  start_time

85_29_sw.wav  0.0
85_30_pathorse.wav  4.5
85_31_1toekickr.wav  7.8
85_31_2toekickl.wav  12.3
85_32_turn_lheelkick.wav  16.7
85_33_knee1.wav  21.2
85_33_knee2.wav  25.6
85_34_hammer.wav  30.1
85_35_turnpunch.wav  34.6
85_36_banlan.wav  39.0
85_37_rheelkick.wav  45.7
85_38_ltiger.wav  49.6
85_39_rtiger.wav  54.1
85_40_rheelkick.wav  58.5
85_41_strikeears.wav  62.4
85_42_lheelkick.wav  65.8
85_43_turnrheel.wav  69.7
85_44_banlan.wav  74.1
85_45_aclose.wav  80.8
85_46_cross.wav  84.1
85_47_back2m.wav  86.9
85_48_osw.wav  97.0
85_49_wildhorse1.wav  101.4
85_49_wildhorse2.wav  105.9
85_49_wildhorse3.wav  110.3
85_50_lrtail.wav  114.8
85_51_sw.wav  125.9
85_52_jadelady1.wav  130.4
85_52_jadelady2.wav  134.9
85_52_jadelady3.wav  139.3
85_52_jadelady4.wav  143.8
85_53_lrtail.wav  148.2
85_54_sw.wav  159.4
85_55_wave1.wav  163.8
85_55_wave2.wav  167.7
85_55_wave3.wav  171.6
85_56_sw.wav  175.5
